                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2398,                0.70001,                 1.1569,                 0.8455,                0.68116,                0.75633,                0.40604,                 1.5424,                0.90947,                 1.3356,             0.00097775,             0.00097775,             0.00097775
                     36,                 1.2396,                0.69374,                 1.1544,                0.86578,                0.67135,                0.75822,                0.41476,                 1.5453,                0.88589,                 1.3349,              0.0009695,              0.0009695,              0.0009695
                     37,                 1.2298,                0.68577,                 1.1564,                0.86821,                0.66834,                0.75849,                0.40986,                 1.5751,                 0.8905,                 1.3562,             0.00096125,             0.00096125,             0.00096125
                     38,                 1.2316,                0.68888,                 1.1496,                0.82083,                0.67373,                0.74911,                0.39511,                 1.5975,                0.90015,                 1.3659,               0.000953,               0.000953,               0.000953
                     39,                 1.2228,                0.68643,                 1.1526,                0.85292,                 0.6467,                0.73892,                0.39778,                 1.5619,                0.90317,                 1.3321,             0.00094475,             0.00094475,             0.00094475
                     40,                 1.1862,                0.66094,                 1.1329,                0.89006,                0.65112,                0.75551,                0.40741,                 1.5691,                0.87108,                 1.3468,              0.0009365,              0.0009365,              0.0009365
                     41,                 1.1758,                 0.6579,                 1.1232,                0.83565,                0.66873,                0.75334,                0.40502,                 1.5636,                0.92018,                 1.3367,             0.00092825,             0.00092825,             0.00092825
                     42,                 1.2097,                0.66854,                 1.1442,                0.87072,                0.64134,                0.74314,                0.40249,                 1.5466,                0.91242,                 1.3335,                0.00092,                0.00092,                0.00092
                     43,                 1.1783,                0.64242,                 1.1176,                0.85227,                0.68756,                0.76548,                0.41759,                 1.5533,                0.85249,                 1.3501,             0.00091175,             0.00091175,             0.00091175
                     44,                 1.1626,                0.63362,                 1.1139,                0.89797,                0.68378,                0.77699,                0.41424,                 1.5699,                0.83727,                  1.353,              0.0009035,              0.0009035,              0.0009035
                     45,                 1.1648,                 0.6377,                  1.121,                0.86987,                0.68169,                0.77006,                0.41399,                 1.5725,                0.84987,                  1.357,             0.00089525,             0.00089525,             0.00089525
                     46,                 1.1453,                0.62873,                  1.105,                0.86471,                0.67684,                0.76507,                0.41112,                 1.5757,                0.86704,                  1.361,               0.000887,               0.000887,               0.000887
                     47,                 1.1235,                0.61698,                 1.0974,                0.85755,                0.67585,                0.76522,                0.41923,                 1.5523,                0.87921,                 1.3422,             0.00087875,             0.00087875,             0.00087875
                     48,                 1.1298,                0.61383,                 1.0999,                0.83143,                0.68799,                  0.753,                0.41016,                 1.5646,                0.92332,                 1.3565,              0.0008705,              0.0008705,              0.0008705
                     49,                 1.1065,                0.59774,                 1.0848,                0.85126,                0.69154,                0.76445,                0.41985,                 1.5459,                0.91677,                 1.3573,             0.00086225,             0.00086225,             0.00086225
                     50,                 1.1061,                0.59725,                 1.0992,                 0.8553,                0.65609,                0.75056,                0.40569,                 1.6019,                 0.9359,                 1.3826,               0.000854,               0.000854,               0.000854
                     51,                 1.0862,                0.59199,                 1.0809,                0.82039,                0.68196,                0.75502,                0.40825,                 1.5743,                0.90252,                 1.3707,             0.00084575,             0.00084575,             0.00084575
                     52,                 1.0777,                0.58486,                 1.0727,                0.86148,                0.68506,                0.76622,                0.42299,                 1.5185,                0.88193,                 1.3407,              0.0008375,              0.0008375,              0.0008375
                     53,                 1.0733,                0.57738,                 1.0864,                0.86389,                0.66699,                0.76397,                0.41463,                 1.5841,                0.89012,                 1.3724,             0.00082925,             0.00082925,             0.00082925
                     54,                 1.0725,                0.58762,                 1.0799,                0.85802,                0.68367,                0.76617,                0.42031,                 1.5473,                0.89487,                 1.3579,               0.000821,               0.000821,               0.000821
                     55,                 1.0845,                0.58414,                 1.0793,                0.84577,                0.69351,                0.76547,                0.41467,                 1.5891,                0.87795,                 1.3731,             0.00081275,             0.00081275,             0.00081275
                     56,                 1.0682,                0.57202,                 1.0629,                0.85526,                0.67579,                0.75609,                0.41503,                 1.5443,                0.89559,                 1.3435,              0.0008045,              0.0008045,              0.0008045
                     57,                 1.0472,                0.56653,                 1.0572,                0.86294,                0.69236,                0.78024,                0.42331,                 1.5674,                0.85695,                 1.3682,             0.00079625,             0.00079625,             0.00079625
                     58,                  1.056,                0.56756,                 1.0676,                0.86252,                0.68139,                 0.7626,                0.41913,                 1.5591,                0.89588,                 1.3533,               0.000788,               0.000788,               0.000788
                     59,                 1.0329,                0.55613,                 1.0618,                0.87979,                0.65269,                0.75514,                0.41635,                 1.5402,                0.89719,                 1.3504,             0.00077975,             0.00077975,             0.00077975
                     60,                 1.0446,                0.56378,                 1.0653,                0.86547,                  0.704,                 0.7795,                0.43018,                 1.5188,                 0.8638,                 1.3328,              0.0007715,              0.0007715,              0.0007715
